pair,block,field,different,review,chromeRepeatEqual,mimicRepeatEqual
0,,DxSb8,False,equal,True,True
0,,EXCAQ5,False,equal,True,True
0,,JTefQ0,False,equal,True,True
0,,NnqX6,True,variable-metadata-reviewed,False,False
0,,RJpH8,False,equal,True,True
0,,TzZRB1,True,variable-metadata-reviewed,True,True
0,,Uheo3,False,equal,True,True
0,,VVRCk9,False,equal,True,True
0,,WqxKW9,False,equal,True,True
0,,WzICl1,False,equal,True,True
0,,ZMSOw0,True,variable-metadata-reviewed,False,False
0,,aQgx8,False,equal,True,True
0,,eBdb6,False,equal,True,True
0,,gIBpo1,False,equal,True,True
0,,gdgSi6,False,equal,True,True
0,,jvYQh4,False,equal,True,True
0,,mKiXm6,False,equal,True,True
0,,maNnU6,False,localized-aggregate,True,True
0,,oPhMk5,False,equal,True,True
0,,rPAC6,False,equal,True,True
0,,tQdUc5,False,equal,True,True
0,,tRta4,False,equal,True,True
0,,twvE0,True,variable-metadata-reviewed,False,False
1,,BkYo5,False,equal,True,True
1,,Blsob5,True,variable-metadata-reviewed,False,True
1,,DxSb8,False,equal,True,True
1,,EXCAQ5,False,equal,True,True
1,,HEywW9,False,equal,True,True
1,,IPeXW2,False,equal,True,True
1,,JTefQ0,False,equal,True,True
1,,JWTz7,False,equal,True,True
1,,KXkx2,False,equal,True,True
1,,LTkA3,False,equal,True,True
1,,NnqX6,True,variable-metadata-reviewed,False,False
1,,OqAoN4,False,equal,True,True
1,,PWGF4,True,stack-and-timing,False,True
1,,RJpH8,False,equal,True,True
1,,TzZRB1,True,variable-metadata-reviewed,False,False
1,,Uheo3,False,equal,True,True
1,,VVRCk9,False,equal,True,True
1,,VnGsz1,False,equal,True,True
1,,WHTpH6,True,variable-metadata-reviewed,False,False
1,,WbdgY0,False,equal,True,True
1,,WqxKW9,False,equal,True,True
1,,WzICl1,False,equal,True,True
1,,Xqrgl6,False,equal,True,True
1,,ZMSOw0,True,variable-metadata-reviewed,False,False
1,,Ztwv3,False,equal,True,True
1,,aQgx8,False,equal,True,True
1,,eBdb6,False,equal,True,True
1,,eaaP6,True,variable-metadata-reviewed,False,False
1,,gIBpo1,False,equal,True,True
1,,gdgSi6,False,equal,True,True
1,,jvYQh4,False,equal,True,True
1,,mKiXm6,False,equal,True,True
1,,maNnU6,False,localized-aggregate,True,True
1,,oPhMk5,False,equal,True,True
1,,oQJEH1,False,equal,True,True
1,,poqG1,True,variable-metadata-reviewed,True,False
1,,rPAC6,False,equal,True,True
1,,rPXg2,True,localized-aggregate,False,False
1,,rRSMV9,False,equal,True,True
1,,tQdUc5,False,equal,True,True
1,,tRta4,False,equal,True,True
1,,tZwbF3,True,variable-metadata-reviewed,False,False
1,,twvE0,True,variable-metadata-reviewed,False,False
1,,uGyjw9,True,variable-metadata-reviewed,False,True
1,,vHQxF7,False,equal,True,True
1,,vXDzj6,False,equal,True,True
1,,wOvYJ5,True,variable-metadata-reviewed,False,False
1,,yAFE2,False,equal,True,True
1,,zfniV9,False,equal,True,True
2,1,IEyJ3,False,equal,True,True
2,1,TPpkV4,True,timing,False,False
2,1,Vtvy6,True,timing,False,False
2,1,hCfV6,True,timing,False,True
2,1,oYbOZ3,False,equal,True,True
2,1,pafm1,False,equal,True,True
2,1,qAxn4,False,equal,True,True
2,1,quDo6,False,equal,True,True
2,1,uqId5,False,equal,True,True
2,1,uwPn4,False,equal,True,True
2,10,FEahy0,False,equal,True,True
2,10,IEyJ3,False,equal,True,True
2,10,Jpzg5,True,graphics-profile,True,True
2,10,KMUh5,True,reviewed-aggregate-unresolved,True,True
2,10,OYbs6,True,reviewed-aggregate-unresolved,True,True
2,10,OyfhW8,False,equal,True,True
2,10,TPpkV4,True,timing,False,False
2,10,Vtvy6,True,timing,False,False
2,10,XYvy9,True,reviewed-aggregate-unresolved,True,True
2,10,ZwhIC5,True,reviewed-branch-unresolved,True,True
2,10,auHG6,True,reviewed-aggregate-unresolved,True,True
2,10,etmnR7,True,localized-aggregate,True,True
2,10,gAtz0,True,reviewed-aggregate-unresolved,True,True
2,10,hCfV6,True,timing,False,False
2,10,lDUiR4,True,reviewed-aggregate-unresolved,False,True
2,10,oYbOZ3,False,equal,True,True
2,10,pafm1,False,equal,True,True
2,10,quDo6,False,equal,True,True
2,10,qydV6,True,reviewed-aggregate-unresolved,True,True
2,10,tUxL6,False,equal,True,True
2,10,uqId5,False,equal,True,True
2,10,uwPn4,False,equal,True,True
2,10,zfym0,True,reviewed-aggregate-unresolved,True,True
2,11,IEyJ3,False,equal,True,True
2,11,MfOHt6,True,environment,True,True
2,11,TPpkV4,True,timing,False,False
2,11,Vtvy6,True,timing,False,False
2,11,hCKCP8,True,timing,False,False
2,11,hCfV6,True,timing,False,False
2,11,jBVrk8,True,timing,False,False
2,11,oYbOZ3,False,equal,True,True
2,11,pafm1,False,equal,True,True
2,11,qdVjJ1,True,timing,False,False
2,11,quDo6,False,equal,True,True
2,11,uqId5,False,equal,True,True
2,11,uwPn4,False,equal,True,True
2,11,wikEk8,False,equal,True,True
2,11,wopX8,False,equal,True,True
2,12,IEyJ3,False,equal,True,True
2,12,JRzmw6,True,localized-aggregate,True,True
2,12,RKUE0,True,localized-aggregate,True,True
2,12,TPpkV4,True,timing,False,False
2,12,Vtvy6,True,timing,False,False
2,12,hCfV6,True,timing,False,False
2,12,kRQwh3,False,equal,True,True
2,12,oSIr8,True,localized-aggregate,True,True
2,12,oYbOZ3,False,equal,True,True
2,12,pafm1,False,equal,True,True
2,12,quDo6,False,equal,True,True
2,12,uqId5,False,equal,True,True
2,12,uwPn4,False,equal,True,True
2,13,IEyJ3,False,equal,True,True
2,13,OjmeV1,True,localized,True,True
2,13,TPpkV4,True,timing,False,False
2,13,Vtvy6,True,timing,False,False
2,13,hCfV6,True,timing,False,False
2,13,oYbOZ3,False,equal,True,True
2,13,pafm1,False,equal,True,True
2,13,quDo6,False,equal,True,True
2,13,uqId5,False,equal,True,True
2,13,uwPn4,False,equal,True,True
2,14,IEyJ3,False,equal,True,True
2,14,TPpkV4,True,timing,False,False
2,14,Vtvy6,True,timing,False,False
2,14,hCfV6,False,timing,True,True
2,14,oYbOZ3,False,equal,True,True
2,14,pafm1,False,equal,True,True
2,14,quDo6,False,equal,True,True
2,14,uqId5,False,equal,True,True
2,14,uwPn4,False,equal,True,True
2,15,IEyJ3,False,equal,True,True
2,15,TPpkV4,True,timing,False,False
2,15,Vtvy6,True,timing,False,False
2,15,hCfV6,True,timing,False,False
2,15,jyDXx2,True,response-observation,True,True
2,15,oYbOZ3,False,equal,True,True
2,15,pafm1,False,equal,True,True
2,15,quDo6,False,equal,True,True
2,15,uqId5,False,equal,True,True
2,15,uwPn4,False,equal,True,True
2,16,CzUP6,True,localized-aggregate,True,True
2,16,IEyJ3,False,equal,True,True
2,16,MnIr8,True,localized-aggregate,True,True
2,16,TPpkV4,True,timing,False,False
2,16,Vtvy6,True,timing,False,False
2,16,aJofP9,False,equal,True,True
2,16,hCfV6,True,timing,False,True
2,16,oYbOZ3,False,equal,True,True
2,16,pafm1,False,equal,True,True
2,16,quDo6,False,equal,True,True
2,16,uqId5,False,equal,True,True
2,16,urTy2,False,equal,True,True
2,16,uwPn4,False,equal,True,True
2,17,IEyJ3,False,equal,True,True
2,17,IGBuA2,False,localized,True,True
2,17,TPpkV4,True,timing,False,False
2,17,Vtvy6,True,timing,False,False
2,17,bLvQ6,False,equal,True,True
2,17,hCfV6,True,timing,False,False
2,17,oHIQ6,False,localized,True,True
2,17,oYbOZ3,False,equal,True,True
2,17,pafm1,False,equal,True,True
2,17,quDo6,False,equal,True,True
2,17,uqId5,False,equal,True,True
2,17,uwPn4,False,equal,True,True
2,18,BMnw0,False,localized,True,True
2,18,IEyJ3,False,equal,True,True
2,18,Ozfs8,False,equal,True,True
2,18,TPpkV4,True,timing,False,False
2,18,UYbIv2,False,localized,True,True
2,18,Vtvy6,True,timing,False,False
2,18,bzNje2,False,equal,True,True
2,18,hCfV6,True,timing,False,False
2,18,knVv1,False,localized,True,True
2,18,oYbOZ3,False,equal,True,True
2,18,pafm1,False,equal,True,True
2,18,quDo6,False,equal,True,True
2,18,uqId5,False,equal,True,True
2,18,uwPn4,False,equal,True,True
2,18,xWWV8,True,localized,False,False
2,19,EPRH3,False,equal,True,True
2,19,IEyJ3,False,equal,True,True
2,19,TPpkV4,True,timing,False,False
2,19,Vtvy6,True,timing,False,False
2,19,XdgW5,False,equal,True,True
2,19,gbIrx9,False,equal,True,True
2,19,hCfV6,True,timing,False,False
2,19,kPEvW6,False,equal,True,True
2,19,mrxg2,False,equal,True,True
2,19,oYbOZ3,False,equal,True,True
2,19,pafm1,False,equal,True,True
2,19,peEN1,False,equal,True,True
2,19,qEwJM8,False,equal,True,True
2,19,quDo6,False,equal,True,True
2,19,rAyc6,False,equal,True,True
2,19,uqId5,False,equal,True,True
2,19,uwPn4,False,equal,True,True
2,2,IEyJ3,False,equal,True,True
2,2,TPpkV4,True,timing,False,False
2,2,Vtvy6,True,timing,False,False
2,2,hCfV6,True,timing,False,False
2,2,oYbOZ3,False,equal,True,True
2,2,omMvP9,False,equal,True,True
2,2,pafm1,False,equal,True,True
2,2,quDo6,False,equal,True,True
2,2,uqId5,False,equal,True,True
2,2,uwPn4,False,equal,True,True
2,2,zIyO8,False,equal,True,True
2,20,IEyJ3,False,equal,True,True
2,20,TPpkV4,True,timing,False,False
2,20,Vtvy6,True,timing,False,False
2,20,ZkTjK2,True,localized,True,True
2,20,gzWZ6,False,equal,True,True
2,20,hCfV6,True,timing,False,False
2,20,oYbOZ3,False,equal,True,True
2,20,pafm1,False,equal,True,True
2,20,quDo6,False,equal,True,True
2,20,uqId5,False,equal,True,True
2,20,uwPn4,False,equal,True,True
2,21,DqomM2,False,equal,True,True
2,21,IEyJ3,False,equal,True,True
2,21,TPpkV4,True,timing,False,False
2,21,Vtvy6,True,timing,False,False
2,21,hCfV6,True,timing,False,True
2,21,oYbOZ3,False,equal,True,True
2,21,pafm1,False,equal,True,True
2,21,quDo6,False,equal,True,True
2,21,uqId5,False,equal,True,True
